,lat_topleft,lon_topleft,lat_botright,lon_botright,height,width
denmark-1_1_0,56.8730964660644531250000000,8.1334743499755859375000000,56.6503105163574218750000000,8.4326276779174804687500000,2500,1804
denmark-1_2_0,56.6476936340332031250000000,8.0836553573608398437500000,56.4252815246582031250000000,8.4358749389648437500000000,2500,2142
denmark-1_3_0,56.4226684570312500000000000,8.0837936401367187500000000,56.2002677917480468750000000,8.4384984970092773437500000,2500,2173
denmark-1_4_0,56.1975173950195312500000000,8.0668573379516601562500000,55.9752578735351562500000000,8.4419231414794921875000000,2500,2310
denmark-1_5_0,55.9727325439453125000000000,8.1004943847656250000000000,55.7502403259277343750000000,8.4477920532226562500000000,2500,2151
denmark-1_6_0,55.7473106384277343750000000,8.0502462387084960937500000,55.5252151489257812500000000,8.4510784149169921875000000,2500,2500
denmark-1_7_0,56.8735580444335937500000000,8.4335737228393554687500000,56.6502723693847656250000000,8.8441314697265625000000000,2500,2500
denmark-1_8_0,56.6485671997070312500000000,8.4336442947387695312500000,56.4252395629882812500000000,8.8417253494262695312500000,2500,2500
denmark-1_9_0,56.4235763549804687500000000,8.4420471191406250000000000,56.2002334594726562500000000,8.8482770919799804687500000,2500,2500
denmark-1_10_0,56.1985893249511718750000000,8.4420337677001953125000000,55.9752388000488281250000000,8.8457412719726562500000000,2500,2500
denmark-1_11_0,55.9736022949218750000000000,8.4421091079711914062500000,55.7502326965332031250000000,8.8431224822998046875000000,2500,2500
denmark-1_12_0,55.7486076354980468750000000,8.4505329132080078125000000,55.5252227783203125000000000,8.8488941192626953125000000,2500,2500
denmark-1_13_0,56.8747596740722656250000000,8.8416557312011718750000000,56.6501121520996093750000000,9.2501497268676757812500000,2500,2500
denmark-1_14_0,56.6497573852539062500000000,8.8415803909301757812500000,56.4250831604003906250000000,9.2475824356079101562500000,2500,2500
denmark-1_15_0,56.4247550964355468750000000,8.8415117263793945312500000,56.2000770568847656250000000,9.2455883026123046875000000,2500,2500
denmark-1_16_0,56.1997604370117187500000000,8.8415384292602539062500000,55.9750900268554687500000000,9.2432422637939453125000000,2500,2500
denmark-1_17_0,55.9747581481933593750000000,8.8414487838745117187500000,55.7500801086425781250000000,9.2409324645996093750000000,2500,2500
denmark-1_18_0,55.7497596740722656250000000,8.8413314819335937500000000,55.5250778198242187500000000,9.2382402420043945312500000,2500,2500
denmark-1_19_0,55.5247573852539062500000000,8.8496875762939453125000000,55.3000488281250000000000000,9.2444124221801757812500000,2500,2500
denmark-1_20_0,55.2997589111328125000000000,8.8496685028076171875000000,55.0750541687011718750000000,9.2421293258666992187500000,2500,2500
denmark-1_21_0,57.3247566223144531250000000,9.2516098022460937500000000,57.0987548828125000000000000,9.6625404357910156250000000,2500,2500
denmark-1_22_0,57.0997581481933593750000000,9.2515268325805664062500000,56.8737602233886718750000000,9.6598930358886718750000000,2500,2500
denmark-1_23_0,56.8747596740722656250000000,9.2515115737915039062500000,56.6487808227539062500000000,9.6575164794921875000000000,2500,2500
denmark-1_24_0,56.6497573852539062500000000,9.2514228820800781250000000,56.4237632751464843750000000,9.6552104949951171875000000,2500,2500
denmark-1_25_0,56.4247550964355468750000000,9.2513952255249023437500000,56.1987686157226562500000000,9.6530618667602539062500000,2500,2500
denmark-1_26_0,56.1997566223144531250000000,9.2430629730224609375000000,55.9737701416015625000000000,9.6422395706176757812500000,2500,2500
denmark-1_27_0,55.9747619628906250000000000,9.2430362701416015625000000,55.7487907409667968750000000,9.6398983001708984375000000,2500,2500
denmark-1_28_0,55.7497596740722656250000000,9.2430219650268554687500000,55.5237960815429687500000000,9.6371555328369140625000000,2500,2500
denmark-1_29_0,55.5247573852539062500000000,9.2429389953613281250000000,55.2987785339355468750000000,9.6353111267089843750000000,2500,2500
denmark-1_30_0,57.3247489929199218750000000,9.6707925796508789062500000,57.0974159240722656250000000,10.0788908004760742187500000,2500,2500
denmark-1_31_0,57.0997467041015625000000000,9.6623811721801757812500000,56.8724098205566406250000000,10.0684585571289062500000000,2500,2500
denmark-1_32_0,56.8747444152832031250000000,9.6622829437255859375000000,56.6474266052246093750000000,10.0660858154296875000000000,2500,2500
denmark-1_33_0,56.6497497558593750000000000,9.6539011001586914062500000,56.4224586486816406250000000,10.0554103851318359375000000,2500,2500
denmark-1_34_0,56.4247512817382812500000000,9.6537904739379882812500000,56.1974716186523437500000000,10.0527181625366210937500000,2500,2500
denmark-1_35_0,56.1997528076171875000000000,9.6536655426025390625000000,55.9724884033203125000000000,10.0501728057861328125000000,2500,2500
denmark-1_36_0,55.9747467041015625000000000,9.6451158523559570312500000,55.7474784851074218750000000,10.0397796630859375000000000,2500,2500
denmark-1_37_0,55.5247535705566406250000000,9.6365947723388671875000000,55.2975273132324218750000000,10.0271844863891601562500000,2500,2500
denmark-1_38_0,57.5414047241210937500000000,10.0900392532348632812500000,57.3126869201660156250000000,10.4983444213867187500000000,2500,2500
denmark-1_39_0,57.3164062500000000000000000,10.0815153121948242187500000,57.0877189636230468750000000,10.4877233505249023437500000,2500,2500
denmark-1_40_0,57.0997657775878906250000000,10.0816726684570312500000000,56.8718528747558593750000000,10.4211711883544921875000000,2500,2112
denmark-1_41_0,56.8747673034667968750000000,10.0734586715698242187500000,56.6470260620117187500000000,10.3968105316162109375000000,2500,2025
denmark-1_42_0,56.6497344970703125000000000,10.0643367767333984375000000,56.4211235046386718750000000,10.4632253646850585937500000,2500,2500
denmark-1_43_0,56.4247398376464843750000000,10.0559425354003906250000000,56.1961669921875000000000000,10.4525003433227539062500000,2500,2500
denmark-1_44_0,55.5247459411621093750000000,10.0306673049926757812500000,55.2962837219238281250000000,10.4184207916259765625000000,2500,2500
denmark-1_45_0,55.2997436523437500000000000,10.0306167602539062500000000,55.0712890625000000000000000,10.4160394668579101562500000,2500,2500
denmark-1_46_0,55.5164031982421875000000000,10.4329566955566406250000000,55.2866935729980468750000000,10.8182926177978515625000000,2500,2500
denmark-1_47_0,55.2914009094238281250000000,10.4244689941406250000000000,55.0617294311523437500000000,10.8074436187744140625000000,2500,2500
denmark-1_48_0,56.7581481933593750000000000,11.4725494384765625000000000,56.6641883850097656250000000,11.6829805374145507812500000,998,1327
denmark-1_49_0,55.9580459594726562500000000,11.2460222244262695312500000,55.7257919311523437500000000,11.6313247680664062500000000,2500,2500
denmark-1_50_0,55.9497070312500000000000000,11.6483192443847656250000000,55.7162437438964843750000000,12.0307340621948242187500000,2500,2500
denmark-1_51_0,55.7247085571289062500000000,11.6314287185668945312500000,55.4913024902343750000000000,12.0117321014404296875000000,2500,2500
denmark-1_52_0,55.4997100830078125000000000,11.6144914627075195312500000,55.2663650512695312500000000,11.9924325942993164062500000,2500,2500
denmark-1_53_0,55.2747116088867187500000000,11.6059484481811523437500000,55.0414314270019531250000000,11.9821615219116210937500000,2500,2500
denmark-1_54_0,55.0497131347656250000000000,11.5891513824462890625000000,54.8164939880371093750000000,11.9637212753295898437500000,2500,2500
denmark-1_55_0,56.1497001647949218750000000,12.0666265487670898437500000,55.9252662658691406250000000,12.4489402770996093750000000,2385,2500
denmark-1_56_0,55.9413681030273437500000000,12.0504026412963867187500000,55.7066879272460937500000000,12.4301939010620117187500000,2500,2500
denmark-1_57_0,55.7163658142089843750000000,12.0335845947265625000000000,55.4817619323730468750000000,12.4116058349609375000000000,2500,2500
denmark-1_58_0,56.1164703369140625000000000,12.4664402008056640625000000,55.9262962341308593750000000,12.6448078155517578125000000,2059,1219
denmark-1_59_0,55.9331054687500000000000000,12.4449110031127929687500000,55.7020530700683593750000000,12.6643314361572265625000000,2500,1508
denmark-1_60_0,55.0736274719238281250000000,8.4503402709960937500000000,54.8886680603027343750000000,8.8457202911376953125000000,2072,2520
denmark-1_61_0,55.0747642517089843750000000,8.8499174118041992187500000,54.8226432800292968750000000,9.2400932312011718750000000,2805,2500
denmark-1_62_0,55.0747604370117187500000000,9.2435750961303710937500000,54.7951545715332031250000000,9.6302061080932617187500000,3097,2500
denmark-1_63_0,55.0747566223144531250000000,9.6291189193725585937500000,54.8130645751953125000000000,10.0136318206787109375000000,2884,2500
denmark-1_64_0,55.0747413635253906250000000,10.0236816406250000000000000,54.8002319335937500000000000,10.4051704406738281250000000,3013,2500
denmark-1_65_0,55.0663909912109375000000000,10.4128313064575195312500000,54.6971664428710937500000000,10.7877597808837890625000000,4054,2500
denmark-1_66_0,56.2247657775878906250000000,11.2655000686645507812500000,55.9373283386230468750000000,12.0494174957275390625000000,3011,5000
denmark-1_67_0,55.7080345153808593750000000,12.4308586120605468750000000,55.5323333740234375000000000,12.8225708007812500000000000,1826,2570
denmark-1_68_0,56.0247154235839843750000000,10.8475275039672851562500000,55.7293891906738281250000000,11.2311763763427734375000000,3216,2500
denmark-1_69_0,57.5247955322265625000000000,10.5055046081542968750000000,57.1673812866210937500000000,11.2222747802734375000000000,3858,4420
denmark-1_70_0,57.5497283935546875000000000,9.6200513839721679687500000,57.3221015930175781250000000,10.0819301605224609375000000,2500,2802
denmark-1_71_0,57.1747550964355468750000000,8.8418149948120117187500000,56.8733749389648437500000000,9.2530012130737304687500000,3354,2500
denmark-1_72_0,57.1392478942871093750000000,8.2582168579101562500000000,56.8728599548339843750000000,8.8430261611938476562500000,2990,3530
denmark-1_73_0,56.5580215454101562500000000,10.4717874526977539062500000,56.4084205627441406250000000,10.9941225051879882812500000,1585,3254
denmark-1_74_0,56.4163551330566406250000000,10.4670715332031250000000000,56.1850166320800781250000000,10.9569978713989257812500000,2500,3098
denmark-1_75_0,55.5215644836425781250000000,8.1248703002929687500000000,55.0754356384277343750000000,8.8489427566528320312500000,5000,4559
denmark-1_76_0,56.1997795104980468750000000,10.0533237457275390625000000,55.7413635253906250000000000,10.8376035690307617187500000,5000,5000
denmark-1_77_0,55.7497100830078125000000000,9.6449823379516601562500000,55.5131988525390625000000000,10.8289594650268554687500000,2500,7500
denmark-1_78_0,55.2996025085449218750000000,9.2429656982421875000000000,55.0709609985351562500000000,10.0250139236450195312500000,2500,5000
denmark-1_79_0,55.7414436340332031250000000,10.8357124328613281250000000,55.5026435852050781250000000,11.6155157089233398437500000,2500,5000
denmark-1_80_0,55.5164489746093750000000000,10.8272342681884765625000000,55.2777595520019531250000000,11.6027402877807617187500000,2500,5000
